anno,artista,titolo,canale,righe_excel,bucket,motivo,nota_correzione,classificazione_aggiornata
2019,REMAR WILLIAM JAMES,FATAL INSTINCT,SKY CINEMA COMEDY,44,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,THE QUEST,SKY CINEMA MAX/ACTION,44,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,AIR FORCE ONE,SKY CINEMA +1,43,D,film/cast ok o parziale ma non in output campagna,,no
2018,BIONDI LYDIA,COMMEDIASEXI,SKY CINEMA UNO,43,C,opera assente o non riconciliata in catalogo,,no
2018,OLMI CORRADO,FANTOZZI 2000 - LA CLONAZIONE,SKY CINEMA COMEDY,43,B,cast assente in catalogo (sull'opera collegata),,no
2017,FERRARA DIANELLA,SUSPIRIA,SKY CINEMA MAX COLLECTION,42,B,cast assente in catalogo (sull'opera collegata),,no
2017,REMAR WILLIAM JAMES,I Guerrieri Della Notte,SKY CINEMA CLASSICS,42,D,film/cast ok o parziale ma non in output campagna,,no
2018,BORKAN GENE,Beverly Hills Cop - Un Piedipiatti A Beverly Hills,SKY CINEMA MAX COLLECTION,42,B,cast assente in catalogo (sull'opera collegata),,no
2018,REMAR WILLIAM JAMES,FATAL INSTINCT,SKY CINEMA COMEDY,42,D,film/cast ok o parziale ma non in output campagna,,no
2019,SCHIENA ANTONIO,THE Number One Girl,SKY CINEMA SUSPENSE,42,D,film/cast ok o parziale ma non in output campagna,,no
2015,MCNAMARA WILLIAM WEST,AMBUSHED,SKY CINEMA MAX,40,D,film/cast ok o parziale ma non in output campagna,,no
2016,GIOIELLI LORENZO,Mia Madre,SKY CINEMA UNO,40,B,cast assente in catalogo (sull'opera collegata),,no
2016,NICOLAS FLORENCE,Montecarlo Gran Casinò,SKY CINEMA COMEDY,40,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,DJANGO UNCHAINED,TV8,40,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2017,SINGH MOSE,VIKINGS 4,Sky Atlantic,40,A+D,cast presente; blocco mandato (dal 2021),Matcher trova SINGH; campagna non persiste per mandato,sì
2015,DONATONE GIACINTO,THE GODFATHER: PART III,SKY CINEMA CULT,38,D,film/cast ok o parziale ma non in output campagna,,no
2015,YOUNGS JOHN SMEALLIE,THE GODFATHER: PART III,SKY CINEMA CULT,38,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,La Ragazza Della Porta Accanto,SKY CINEMA PASSION,38,D,film/cast ok o parziale ma non in output campagna,,no
2016,YOUNGS JOHN SMEALLIE,THE CROSSING GUARD,SKY CINEMA CULT,38,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,BLADE: TRINITY,SKY CINEMA MAX,38,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2018,SORVINO MIRA,A PRIMA VISTA,SKY CINEMA ROMANCE,38,D,film/cast ok o parziale ma non in output campagna,,no
2019,BORKAN GENE,PHILADELPHIA,SKY CINEMA OSCAR,38,D,film/cast ok o parziale ma non in output campagna,,no
2015,BARBERO FRANCO,Ci Vuole Un Gran Fisico,SKY CINEMA PASSION,37,D,film/cast ok o parziale ma non in output campagna,,no
2016,ZUCCA MARIO,In Questo Mondo Di Ladri,SKY CINEMA COMEDY,37,B,cast assente in catalogo (sull'opera collegata),,no
2018,PARE MICHAEL,Codice D'emergenza,SKY CINEMA UNO,37,D,film/cast ok o parziale ma non in output campagna,,no
2015,YOUNGS JOHN SMEALLIE,La Sottile Linea Rossa,SKY CINEMA CULT,36,D,film/cast ok o parziale ma non in output campagna,,no
2016,CROCCOLO CARLO,Cose Da Pazzi,SKY CINEMA COMEDY,36,C,opera assente o non riconciliata in catalogo,,no
2016,DONATONE GIACINTO,THE GODFATHER: PART III,SKY CINEMA CULT,36,D,film/cast ok o parziale ma non in output campagna,,no
2016,YOUNGS JOHN SMEALLIE,THE GODFATHER: PART III,SKY CINEMA CULT,36,D,film/cast ok o parziale ma non in output campagna,,no
2017,CASTELLUCCIO FEDERICO,La Pantera Rosa 2,SKY CINEMA +1,36,B,cast assente in catalogo (sull'opera collegata),,no
2017,FARGAS JUAN ANTONIO,HOUSE OF LIES 3,Sky Atlantic,36,A,episodio/serie non matchata (spesso anche mandato),,no
2018,YOUNGS JOHN SMEALLIE,CATTIVE COMPAGNIE,SKY CINEMA CLASSICS,36,C,opera assente o non riconciliata in catalogo,,no
2018,YOUNGS JOHN SMEALLIE,THE CROSSING GUARD,SKY CINEMA CULT,36,D,film/cast ok o parziale ma non in output campagna,,no
2018,GUILFOYLE PAUL,Beverly Hills Cop II,SKY CINEMA HITS,35,D,film/cast ok o parziale ma non in output campagna,,no
2019,AUTUORO CRISTIAN,NOME DI DONNA,SKY CINEMA HITS/COLLECTION,35,B,cast assente in catalogo (sull'opera collegata),,no
2019,BORKAN GENE,Beverly Hills Cop - Un Piedipiatti A Beverly Hills,SKY CINEMA HITS/COLLECTION,35,B,cast assente in catalogo (sull'opera collegata),,no
2015,TANO ROCCO,Amore Oggi,SKY CINEMA HITS,34,D,film/cast ok o parziale ma non in output campagna,,no
2017,CASTELNUOVO FRANCESCO,Il Paziente Inglese,SKY CINEMA PASSION,34,D,film/cast ok o parziale ma non in output campagna,,no
2018,FERRARA DIANELLA,SUSPIRIA,SKY CINEMA HITS,34,B,cast assente in catalogo (sull'opera collegata),,no
2018,REMAR WILLIAM JAMES,I Guerrieri Della Notte,SKY CINEMA CLASSICS,34,D,film/cast ok o parziale ma non in output campagna,,no
2018,SCHIENA ANTONIO,WAKE OF DEATH,SKY CINEMA ACTION,34,D,film/cast ok o parziale ma non in output campagna,,no
2019,YAMANOUCHI HARUHIKO,PUSH,SKY CINEMA UNO,34,C,artista assente in anagrafica,,no
2015,CAMPAGNOLA CLAUDIA,SENZA NESSUNA PIETÀ,SKY CINEMA CULT,33,D,film/cast ok o parziale ma non in output campagna,,no
2018,TREVISANELLO GIOVANNI,LEZIONI DI CIOCCOLATO,SKY CINEMA UNO,33,C,opera assente o non riconciliata in catalogo,,no
2015,NICOLAS FLORENCE,Montecarlo Gran Casinò,SKY CINEMA COMEDY,32,D,film/cast ok o parziale ma non in output campagna,,no
2015,PARE MICHAEL,COOL DOG,SKY CINEMA FAMILY,32,D,film/cast ok o parziale ma non in output campagna,,no
2015,YOUNGS JOHN SMEALLIE,BERMUDA TENTACLES,SKY CINEMA MAX,32,D,film/cast ok o parziale ma non in output campagna,,no
2016,SEAGAL STEVEN,Code Of Honor,SKY CINEMA MAX +1,32,D,film/cast ok o parziale ma non in output campagna,,no
2017,SORVINO MIRA,ALLA RICERCA DI MAMMA NATALE,SKY CINEMA PASSION,32,D,film/cast ok o parziale ma non in output campagna,,no
2017,SORVINO MIRA,QUIZ SHOW,SKY CINEMA CULT,32,D,film/cast ok o parziale ma non in output campagna,,no
2017,TANI LUIGI,Amici Ahrarara,SKY CINEMA COMEDY,32,D,film/cast ok o parziale ma non in output campagna,,no
2018,BACKUS CHRISTOPHER,MOTHERS AND DAUGHTERS,SKY CINEMA PASSION,32,D,cast presente; blocco mandato (dal 2023),Matcher trova BACKUS/SORVINO; non persistito,sì
2018,CASTELLUCCIO FEDERICO,La Pantera Rosa 2,SKY CINEMA HITS,32,B,cast assente in catalogo (sull'opera collegata),,no
2018,SORVINO MIRA,MOTHERS AND DAUGHTERS,SKY CINEMA PASSION,32,D,cast presente; blocco mandato (dal 2023),Matcher trova BACKUS/SORVINO; non persistito,sì
2016,AMOROSINO LUCA,Boris 2,Sky Mario HD,31,A,episodio/serie non matchata (spesso anche mandato),,no
2019,BIONDI LYDIA,COMMEDIASEXI,SKY CINEMA HITS/COLLECTION,31,C,opera assente o non riconciliata in catalogo,,no
2016,ASSANTE ARMAND,DEAD MAN DOWN,SKY CINEMA MAX +1,30,D,film/cast ok o parziale ma non in output campagna,,no
2016,ORLANDO ILARIA,Tutto Può Accadere A Broadway,SKY CINEMA UNO,30,D,film/cast ok o parziale ma non in output campagna,,no
2016,SNEL LEONTINE MARGHERITE,MANUALE D'AMORE,SKY CINEMA PASSION,30,D,film/cast ok o parziale ma non in output campagna,,no
2016,TANI LUIGI,Amici Ahrarara,SKY CINEMA COMEDY,30,D,film/cast ok o parziale ma non in output campagna,,no
2017,ASSANTE ARMAND,DEAD MAN DOWN,SKY CINEMA MAX +1,30,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,DUPLEX,SKY CINEMA COMEDY,30,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2018,DAVITIAN KENNETH,THE ARTIST,SKY CINEMA OSCAR,30,D,film/cast ok o parziale ma non in output campagna,,no
2018,REMAR WILLIAM JAMES,I Cavalieri Dalle Lunghe Ombre,SKY CINEMA CLASSICS,30,D,film/cast ok o parziale ma non in output campagna,,no
2019,SCHIENA ANTONIO,Wake Of Death - Scia Di Morte,SKY CINEMA MAX/ACTION,30,D,film/cast ok o parziale ma non in output campagna,,no
2019,OLMI CORRADO,FANTOZZI 2000 - LA CLONAZIONE,SKY CINEMA HITS/COLLECTION,29,B,cast assente in catalogo (sull'opera collegata),,no
2015,MEZZETTI MATTEI DANILO,Il Caso Moro,SKY CINEMA CULT,28,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,DRUGSTORE COWBOY,SKY CINEMA CULT,28,D,film/cast ok o parziale ma non in output campagna,,no
2016,YOUNGS JOHN SMEALLIE,BAD COMPANY,SKY CINEMA CLASSICS,28,B,cast assente in catalogo (sull'opera collegata),,no
2017,DAVITIAN KENNETH,A Man Apart,SKY CINEMA MAX +1,28,A,episodio/serie non matchata (spesso anche mandato),,no
2017,GUILFOYLE PAUL,Tre Scapoli E Un Bebè,SKY CINEMA FAMILY,28,D,film/cast ok o parziale ma non in output campagna,,no
2019,PARDEILHAN FRANCIS,CASANOVA,SKY CINEMA PASSION/ROMANCE,28,B,cast assente in catalogo (sull'opera collegata),,no
2016,DONATONE GIACINTO,Sono Un Fenomeno Paranormale,SKY CINEMA CLASSICS,27,D,film/cast ok o parziale ma non in output campagna,,no
2016,DAVITIAN KENNETH,Una Notte In Giallo,SKY CINEMA COMEDY,26,C,opera assente o non riconciliata in catalogo,,no
2016,YOUNGS JOHN SMEALLIE,CARNIVÀLE 2,Sky Atlantic,26,A,episodio/serie non matchata (spesso anche mandato),,no
2017,SCHIENA ANTONIO,Wake Of Death,SKY CINEMA MAX +1,26,D,film/cast ok o parziale ma non in output campagna,,no
2019,LAMAS LORENZO,GREASE,SKY CINEMA PASSION/ROMANCE,26,D,film/cast ok o parziale ma non in output campagna,,no
2016,DONATONE GIACINTO,S.P.Q.R. 2000 E 1/2 Anni Fa,SKY CINEMA COMEDY,25,D,film/cast ok o parziale ma non in output campagna,,no
2016,FORTI FULVIO,LA SCUOLA È FINITA,SKY CINEMA UNO,25,B,cast assente in catalogo (sull'opera collegata),,no
2016,GIUFFRE ADRIANA,Sesso E Volentieri,SKY CINEMA COMEDY,25,D,film/cast ok o parziale ma non in output campagna,,no
2016,LEONI LUIGI,Sesso E Volentieri,SKY CINEMA COMEDY,25,D,film/cast ok o parziale ma non in output campagna,,no
2016,PACE PAOLA,LA SCUOLA È FINITA,SKY CINEMA UNO,25,D,film/cast ok o parziale ma non in output campagna,,no
2017,ZUCCA MARIO,In Questo Mondo Di Ladri,SKY CINEMA COMEDY,25,B,cast assente in catalogo (sull'opera collegata),,no
2015,MANTELLI FRANCA,Dove Vai Se Il Vizietto Non Ce L'hai?,SKY CINEMA MAX,24,D,film/cast ok o parziale ma non in output campagna,,no
2015,REMAR WILLIAM JAMES,FATAL INSTINCT,SKY CINEMA MAX,24,D,film/cast ok o parziale ma non in output campagna,,no
2016,GUILFOYLE PAUL,IN DREAMS,SKY CINEMA MAX +1,24,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,I Guerrieri Della Notte,SKY CINEMA CLASSICS,24,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,MIRACLE ON 34TH STREET,Sky Cinema Christmas,24,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,X-Men - L'inizio,SKY CINEMA HITS,24,D,film/cast ok o parziale ma non in output campagna,,no
2017,FERRARA CONSUELA,L'ARCANO INCANTATORE,SKY CINEMA CULT,24,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,LAP DANCE,SKY CINEMA PASSION,24,D,film/cast ok o parziale ma non in output campagna,,no
2017,ZUCCA MARIO,VIKINGS 3,Sky Atlantic,24,A,episodio/serie non matchata (spesso anche mandato),,no
2017,ZUCCA MARIO,VIKINGS 4,Sky Atlantic,24,A,episodio/serie non matchata (spesso anche mandato),,no
2018,REMAR WILLIAM JAMES,La Prova,SKY CINEMA MAX,24,D,film/cast ok o parziale ma non in output campagna,,no
2019,BRADLEY HAROLD BRADLEY JR HAROLD WILLARD,THE YOUNG MESSIAH,SKY CINEMA FAMILY,24,D,artista esiste (nome cella mal formattato),In anagrafica: BRADLEY JR. HAROLD WILLARD,sì
2019,YOUNGS JOHN SMEALLIE,THE CROSSING GUARD,SKY CINEMA DRAMA,24,D,film/cast ok o parziale ma non in output campagna,,no
2016,MANTELLI FRANCA,Dove Vai Se Il Vizietto Non Ce L'hai?,SKY CINEMA COMEDY,23,D,film/cast ok o parziale ma non in output campagna,,no
2017,ASSANTE ARMAND,Rischio A Due,SKY CINEMA MAX COLLECTION,23,D,film/cast ok o parziale ma non in output campagna,,no
